magnitude,jerk,variance,peak_freq,zero_cross,duration,class_id,class_label
1.0601,0.3615,0.1398,8.6881,16,100.00,0,MOVING
0.8680,0.3365,0.0703,7.4399,11,100.00,0,MOVING
1.1262,0.1608,0.1009,9.6999,15,100.00,0,MOVING
0.9318,0.1324,0.1303,8.3883,9,100.00,0,MOVING
0.8905,0.2577,0.1111,7.1607,13,100.00,0,MOVING
0.9975,0.2312,0.1410,5.8868,13,100.00,0,MOVING
0.9556,0.2057,0.0715,11.6441,12,100.00,0,MOVING
1.0638,0.1798,0.0518,6.9033,12,100.00,0,MOVING
0.8722,0.1550,0.0827,5.6700,11,100.00,0,MOVING
1.1284,0.1278,0.1124,7.8724,15,100.00,0,MOVING
0.9356,0.1012,0.0926,6.6066,14,100.00,0,MOVING
1.0451,0.2271,0.0736,5.4026,9,100.00,0,MOVING
1.0017,0.1995,0.0533,11.1173,9,100.00,0,MOVING
1.1091,0.1734,0.1336,6.3549,8,100.00,0,MOVING
0.9170,0.2985,0.0640,8.6046,8,100.00,0,MOVING
0.8740,0.2715,0.0943,10.8334,11,100.00,0,MOVING
0.9812,0.2450,0.1243,6.0643,11,100.00,0,MOVING
0.9395,0.2198,0.1051,11.8301,10,100.00,0,MOVING
0.8964,0.1932,0.0849,7.0500,10,100.00,0,MOVING
0.8534,0.3168,0.0651,9.2772,9,100.00,0,MOVING
1.1117,0.2910,0.1455,8.0400,13,100.00,0,MOVING
1.0692,0.1148,0.1259,6.7832,12,100.00,0,MOVING
0.8750,0.3873,0.0553,5.4731,16,100.00,0,MOVING
1.1336,0.3629,0.1363,7.7446,16,100.00,0,MOVING
0.9403,0.3354,0.0661,6.4624,11,100.00,0,MOVING
0.8994,0.3110,0.0970,8.7469,10,100.00,0,MOVING
0.8546,0.2828,0.0764,7.4257,14,100.00,0,MOVING
0.9647,0.2595,0.0576,9.7360,13,100.00,0,MOVING
0.9211,0.3821,0.0873,11.9466,8,100.00,0,MOVING
0.8797,0.2068,0.0680,10.7186,12,100.00,0,MOVING
0.9869,0.1808,0.0981,5.9478,16,100.00,0,MOVING
0.9452,0.1556,0.0787,8.2119,11,100.00,0,MOVING
1.0517,0.2787,0.1089,6.9250,15,100.00,0,MOVING
1.0101,0.2532,0.1393,5.6889,10,100.00,0,MOVING
1.1165,0.3757,0.0692,7.9015,14,100.00,0,MOVING
1.0744,0.3503,0.0995,6.6511,9,100.00,0,MOVING
1.0321,0.3244,0.1299,5.3968,12,100.00,0,MOVING
1.1383,0.2963,0.0595,7.6019,16,100.00,0,MOVING
0.9466,0.1219,0.0904,6.3637,16,100.00,0,MOVING
0.9036,0.3948,0.1203,5.0917,11,100.00,0,MOVING
1.0122,0.2198,0.0509,7.3605,10,100.00,0,MOVING
1.1183,0.1924,0.1307,9.5632,9,100.00,0,MOVING
0.9259,0.1668,0.0610,11.8067,13,100.00,0,MOVING
1.0342,0.2912,0.1415,10.5693,8,100.00,0,MOVING
0.9915,0.1148,0.0717,5.8033,12,100.00,0,MOVING
0.9490,0.2387,0.1019,11.5429,12,100.00,0,MOVING
0.9067,0.3632,0.1324,10.2900,11,100.00,0,MOVING
0.8641,0.1868,0.1127,9.0291,15,100.00,0,MOVING
0.9718,0.3108,0.1430,7.7759,14,100.00,0,MOVING
0.9302,0.2857,0.0735,6.5388,14,100.00,0,MOVING
0.8853,0.1071,0.0528,8.7134,13,100.00,0,MOVING
0.9937,0.2322,0.0834,7.4764,8,100.00,0,MOVING
1.1021,0.2065,0.1140,9.7450,12,100.00,0,MOVING
0.9106,0.3321,0.1447,5.0114,11,100.00,0,MOVING
0.8666,0.1545,0.1245,10.7113,15,100.00,0,MOVING
0.9742,0.1287,0.1047,9.4539,15,100.00,0,MOVING
1.0811,0.1015,0.0846,11.6767,14,100.00,0,MOVING
0.8896,0.2265,0.1153,6.9452,14,100.00,0,MOVING
0.9979,0.3510,0.1458,9.2085,13,100.00,0,MOVING
0.9544,0.1742,0.0756,11.4178,12,100.00,0,MOVING
1.0611,0.1472,0.0556,10.1380,16,100.00,0,MOVING
1.0205,0.2729,0.1368,5.4322,11,100.00,0,MOVING
0.9767,0.2456,0.0666,11.1372,11,100.00,0,MOVING
0.9330,0.3682,0.1465,9.8446,14,100.00,0,MOVING
1.0418,0.1938,0.1272,5.1193,14,100.00,0,MOVING
1.1490,0.3167,0.1071,7.3530,9,100.00,0,MOVING
0.9579,0.2924,0.1379,9.6320,8,100.00,0,MOVING
0.9138,0.2644,0.1176,11.8266,8,100.00,0,MOVING
0.8712,0.2381,0.0978,10.5639,11,100.00,0,MOVING
1.1291,0.2128,0.0783,5.8155,15,100.00,0,MOVING
0.9383,0.1883,0.0591,11.6031,10,100.00,0,MOVING
1.0452,0.3118,0.1392,10.3284,10,100.00,0,MOVING
0.8517,0.1347,0.1190,9.0379,14,100.00,0,MOVING
0.9598,0.1088,0.1493,11.2948,13,100.00,0,MOVING
0.9172,0.2330,0.0798,6.5333,8,100.00,0,MOVING
0.8744,0.2064,0.1098,8.7649,12,100.00,0,MOVING
0.9815,0.3302,0.0901,7.4966,11,100.00,0,MOVING
1.0913,0.1565,0.0712,9.8014,11,100.00,0,MOVING
0.8963,0.1277,0.0505,11.9705,10,100.00,0,MOVING
0.8553,0.2531,0.1312,7.2525,14,100.00,0,MOVING
1.1110,0.2252,0.0610,9.4445,13,100.00,0,MOVING
1.0689,0.3497,0.0913,8.1944,8,100.00,0,MOVING
1.0269,0.1739,0.0716,6.9479,8,100.00,0,MOVING
1.1340,0.2979,0.1018,5.6778,16,100.00,0,MOVING
1.0922,0.2723,0.0824,11.4389,15,100.00,0,MOVING
1.0503,0.3964,0.1129,10.1960,15,100.00,0,MOVING
1.0077,0.2200,0.0931,8.9338,10,100.00,0,MOVING
0.9635,0.1929,0.1229,7.6267,14,100.00,0,MOVING
1.0718,0.1673,0.0532,6.3883,9,100.00,0,MOVING
1.0295,0.2912,0.0837,8.6339,8,100.00,0,MOVING
1.1381,0.1159,0.0641,7.4046,12,100.00,0,MOVING
0.9443,0.2394,0.1441,6.1103,11,100.00,0,MOVING
1.0537,0.2156,0.0752,8.4036,15,100.00,0,MOVING
1.0098,0.1872,0.0548,7.1038,15,100.00,0,MOVING
1.1178,0.3116,0.1351,9.3586,14,100.00,0,MOVING
0.9241,0.1348,0.1150,8.0653,13,100.00,0,MOVING
1.0318,0.1084,0.1453,6.8115,13,100.00,0,MOVING
1.1384,0.2314,0.1251,5.5258,12,100.00,0,MOVING
0.9473,0.3565,0.0560,7.8062,16,100.00,0,MOVING
0.9048,0.1810,0.1363,10.0452,16,100.00,0,MOVING
0.8616,0.1540,0.1163,8.7660,15,100.00,0,MOVING
0.9696,0.1285,0.1467,7.5207,10,100.00,0,MOVING
1.0778,0.1028,0.1273,9.7822,9,100.00,0,MOVING
1.0353,0.2268,0.0574,8.5216,9,100.00,0,MOVING
0.9921,0.3502,0.1376,7.2434,8,100.00,0,MOVING
0.9502,0.3247,0.0679,5.9986,8,100.00,0,MOVING
1.0568,0.2976,0.1479,11.7155,11,100.00,0,MOVING
0.8662,0.2734,0.1289,10.5084,15,100.00,0,MOVING
1.1227,0.3964,0.0590,5.7209,10,100.00,0,MOVING
0.9285,0.3688,0.0886,11.4141,10,100.00,0,MOVING
1.0362,0.3427,0.1188,10.1606,9,100.00,0,MOVING
1.1460,0.1686,0.1000,5.4668,8,100.00,0,MOVING
1.1020,0.1414,0.1295,11.1608,12,100.00,0,MOVING
0.9102,0.2658,0.0600,6.4211,16,100.00,0,MOVING
0.8687,0.2411,0.1406,5.1901,11,100.00,0,MOVING
0.9743,0.3629,0.0704,10.8782,15,100.00,0,MOVING
0.9329,0.3380,0.1008,6.1469,10,100.00,0,MOVING
0.8903,0.1616,0.0811,11.8880,9,100.00,0,MOVING
1.1487,0.2866,0.1117,7.1525,13,100.00,0,MOVING
0.9551,0.1092,0.0915,9.3612,13,100.00,0,MOVING
1.0617,0.3823,0.1214,11.5755,12,100.00,0,MOVING
1.0204,0.3574,0.1022,10.3504,12,100.00,0,MOVING
1.1275,0.3307,0.1323,5.5792,15,100.00,0,MOVING
0.9354,0.1550,0.1128,11.3313,10,100.00,0,MOVING
1.0421,0.2788,0.0930,10.0508,14,100.00,0,MOVING
1.1500,0.2524,0.1231,5.3010,14,100.00,0,MOVING
0.9580,0.3771,0.1036,11.0550,9,100.00,0,MOVING
1.0652,0.3505,0.0837,6.2868,8,100.00,0,MOVING
1.0205,0.1723,0.1132,11.9667,16,100.00,0,MOVING
1.1299,0.1484,0.1442,7.2591,16,100.00,0,MOVING
1.0883,0.1229,0.1248,6.0250,15,100.00,0,MOVING
0.8960,0.2470,0.0549,11.7713,15,100.00,0,MOVING
1.0021,0.3697,0.1348,6.9718,9,100.00,0,MOVING
0.9593,0.1933,0.1150,9.2044,9,100.00,0,MOVING
1.0676,0.1679,0.0954,7.9657,8,100.00,0,MOVING
1.0256,0.2919,0.1257,6.7210,12,100.00,0,MOVING
1.1327,0.1157,0.1059,8.9492,12,100.00,0,MOVING
1.0897,0.2393,0.1360,7.6756,11,100.00,0,MOVING
1.0487,0.2149,0.0668,6.4588,15,100.00,0,MOVING
1.0065,0.3390,0.1475,5.2080,10,100.00,0,MOVING
1.1126,0.1614,0.0771,10.9093,14,100.00,0,MOVING
0.9199,0.1351,0.1073,9.6445,13,100.00,0,MOVING
1.0289,0.1106,0.1381,8.4278,8,100.00,0,MOVING
0.9863,0.2338,0.1182,10.6653,16,100.00,0,MOVING
0.9430,0.2074,0.0982,5.8834,16,100.00,0,MOVING
0.9009,0.3321,0.1289,11.6358,15,100.00,0,MOVING
0.8573,0.3040,0.0585,6.8452,10,100.00,0,MOVING
0.9655,0.1292,0.1391,5.6025,10,100.00,0,MOVING
1.0743,0.1041,0.0698,11.3806,14,100.00,0,MOVING
0.8807,0.2268,0.1495,6.5911,8,100.00,0,MOVING
0.9882,0.3509,0.0798,8.8295,8,100.00,0,MOVING
0.9454,0.3246,0.0600,7.5629,16,100.00,0,MOVING
0.9040,0.1496,0.0908,9.8344,16,100.00,0,MOVING
1.0100,0.1223,0.0704,5.0318,15,100.00,0,MOVING
0.9679,0.3964,0.1010,7.2855,10,100.00,0,MOVING
1.0766,0.3717,0.1315,6.0572,9,100.00,0,MOVING
1.0332,0.3445,0.0614,11.7735,13,100.00,0,MOVING
1.1395,0.1672,0.0913,10.4801,8,100.00,0,MOVING
0.9484,0.2924,0.0720,9.2586,8,100.00,0,MOVING
1.0543,0.2644,0.1016,11.4554,16,100.00,0,MOVING
1.0145,0.3916,0.0830,6.7688,11,100.00,0,MOVING
0.9704,0.3637,0.0627,8.9655,15,100.00,0,MOVING
0.9284,0.1879,0.1430,7.7194,14,100.00,0,MOVING
0.8860,0.1619,0.0734,6.4627,9,100.00,0,MOVING
0.9943,0.2865,0.1038,8.7271,13,100.00,0,MOVING
1.1005,0.1095,0.0836,7.4281,8,100.00,0,MOVING
1.0586,0.3838,0.1140,6.1855,12,100.00,0,MOVING
0.8666,0.3581,0.0945,8.4407,16,100.00,0,MOVING
0.9740,0.3323,0.1248,7.1797,11,100.00,0,MOVING
0.9306,0.1556,0.1050,9.3940,15,100.00,0,MOVING
1.0365,0.2774,0.1345,8.0898,9,100.00,0,MOVING
0.9965,0.1036,0.0657,6.9016,13,100.00,0,MOVING
0.9525,0.3762,0.0954,5.6008,13,100.00,0,MOVING
1.0608,0.3512,0.1259,7.8618,12,100.00,0,MOVING
1.0167,0.3230,0.1055,6.5578,16,100.00,0,MOVING
0.9759,0.2989,0.0866,5.3470,15,100.00,0,MOVING
1.0840,0.2736,0.0670,7.6028,15,100.00,0,MOVING
1.0414,0.3974,0.0971,9.8399,10,100.00,0,MOVING
0.9988,0.2213,0.0773,8.5756,14,100.00,0,MOVING
1.1072,0.1963,0.1080,10.8418,9,100.00,0,MOVING
1.0638,0.3185,0.1378,6.0577,8,100.00,0,MOVING
0.8707,0.1423,0.1179,8.2823,12,100.00,0,MOVING
1.1282,0.1163,0.1480,10.5205,11,100.00,0,MOVING
1.0863,0.3906,0.1287,9.2810,11,100.00,0,MOVING
0.8951,0.2161,0.0594,11.5559,15,100.00,0,MOVING
0.8503,0.3374,0.0890,10.2342,9,100.00,0,MOVING
0.9588,0.3127,0.1196,5.5001,9,100.00,0,MOVING
1.0650,0.2847,0.1492,7.7060,8,100.00,0,MOVING
0.8735,0.1097,0.0799,6.4727,8,100.00,0,MOVING
1.1306,0.3832,0.1099,5.2016,12,100.00,0,MOVING
1.0891,0.2082,0.0906,7.4703,16,100.00,0,MOVING
1.0458,0.1815,0.0706,6.1879,15,100.00,0,MOVING
0.8542,0.1560,0.1012,11.9529,10,100.00,0,MOVING
0.9597,0.1281,0.0807,10.6394,14,100.00,0,MOVING
1.0687,0.1036,0.1116,5.9205,13,100.00,0,MOVING
1.0256,0.3766,0.0915,8.1439,13,100.00,0,MOVING
1.1335,0.3505,0.1218,6.8949,16,100.00,0,MOVING
0.9419,0.1759,0.0523,9.1591,11,100.00,0,MOVING
1.0495,0.3000,0.1329,7.9038,15,100.00,0,MOVING
1.0083,0.2755,0.1136,6.6804,15,100.00,0,MOVING
1.1140,0.3972,0.0932,5.3702,10,100.00,0,MOVING
1.0720,0.3719,0.1236,7.6256,14,100.00,0,MOVING
0.8784,0.1944,0.0534,6.3360,13,100.00,0,MOVING
0.9871,0.1698,0.1340,5.1063,12,100.00,0,MOVING
0.9435,0.1423,0.1141,7.3194,16,100.00,0,MOVING
0.9017,0.1170,0.1447,9.5793,16,100.00,0,MOVING
1.0079,0.2399,0.1244,11.7833,15,100.00,0,MOVING
1.1167,0.2147,0.1051,10.5591,10,100.00,0,MOVING
1.0747,0.1892,0.1355,5.8139,14,100.00,0,MOVING
0.8813,0.1621,0.0654,8.0282,9,100.00,0,MOVING
0.9880,0.1355,0.0953,10.2456,13,100.00,0,MOVING
1.0954,0.2595,0.0757,5.4851,8,100.00,0,MOVING
0.9036,0.2336,0.1060,7.7446,16,100.00,0,MOVING
1.0122,0.3587,0.1368,10.0159,15,100.00,0,MOVING
1.1189,0.3323,0.0669,5.2332,10,100.00,0,MOVING
0.9261,0.1556,0.1470,7.4667,14,100.00,0,MOVING
1.0351,0.2807,0.0777,6.2484,9,100.00,0,MOVING
1.1416,0.2535,0.1078,11.9620,13,100.00,0,MOVING
0.9478,0.3765,0.1375,7.1632,8,100.00,0,MOVING
0.9060,0.3506,0.0678,5.9236,12,100.00,0,MOVING
0.8641,0.1756,0.1483,11.6803,11,100.00,0,MOVING
0.9726,0.3002,0.0789,10.4499,11,100.00,0,MOVING
0.9284,0.1226,0.1087,5.6429,15,100.00,0,MOVING
0.8868,0.2476,0.1393,7.9076,9,100.00,0,MOVING
1.1437,0.2207,0.1192,6.6320,13,100.00,0,MOVING
0.9514,0.1949,0.1494,8.8764,8,100.00,0,MOVING
0.9092,0.1693,0.1300,11.1257,12,100.00,0,MOVING
1.0167,0.2928,0.1100,9.8661,16,100.00,0,MOVING
1.1244,0.2675,0.0907,8.6128,11,100.00,0,MOVING
1.0820,0.3914,0.0710,7.3573,15,100.00,0,MOVING
0.8888,0.3644,0.1008,9.5746,10,100.00,0,MOVING
1.1457,0.3377,0.0811,11.8006,14,100.00,0,MOVING
1.1037,0.3121,0.0613,10.5533,9,100.00,0,MOVING
0.9115,0.2863,0.0918,9.3043,8,100.00,0,MOVING
1.0173,0.2586,0.0713,11.4957,16,100.00,0,MOVING
0.9766,0.3839,0.1023,10.2865,11,100.00,0,MOVING
1.0845,0.3586,0.1328,5.5398,11,100.00,0,MOVING
0.8914,0.1818,0.1128,11.2635,10,100.00,0,MOVING
1.1498,0.3068,0.0933,6.5274,10,100.00,0,MOVING
1.1070,0.2804,0.1236,5.2609,9,100.00,0,MOVING
0.9143,0.1037,0.0535,7.4927,8,100.00,0,MOVING
0.8727,0.3788,0.1341,6.2575,12,100.00,0,MOVING
1.1295,0.2016,0.0641,8.4807,12,100.00,0,MOVING
0.9359,0.3250,0.1440,10.6882,11,100.00,0,MOVING
0.8946,0.2997,0.1247,5.9646,15,100.00,0,MOVING
1.0027,0.1244,0.1053,11.7197,14,100.00,0,MOVING
0.9588,0.2468,0.1351,6.9238,14,100.00,0,MOVING
1.0660,0.3707,0.1151,5.6544,9,100.00,0,MOVING
0.8742,0.3447,0.0957,11.4159,8,100.00,0,MOVING
1.1318,0.3187,0.1258,6.6581,12,100.00,0,MOVING
1.0896,0.1430,0.1062,5.4053,16,100.00,0,MOVING
1.0466,0.1171,0.0865,7.6320,15,100.00,0,MOVING
1.0042,0.3908,0.0668,6.3748,15,100.00,0,MOVING
0.9610,0.3635,0.0967,5.0982,14,100.00,0,MOVING
0.9206,0.1900,0.1278,7.3963,14,100.00,0,MOVING
1.0262,0.1620,0.0573,9.5828,13,100.00,0,MOVING
0.9840,0.1364,0.0877,8.3315,8,100.00,0,MOVING
0.9408,0.1095,0.1177,7.0521,12,100.00,0,MOVING
0.8998,0.3845,0.0984,5.8344,11,100.00,0,MOVING
1.0064,0.3580,0.1285,11.5501,15,100.00,0,MOVING
1.1149,0.3329,0.0591,10.3168,10,100.00,0,MOVING
1.0722,0.3068,0.1394,9.0536,14,100.00,0,MOVING
1.0306,0.1312,0.1198,11.3186,13,100.00,0,MOVING
1.1359,0.1033,0.0994,6.4984,13,100.00,0,MOVING
0.9450,0.2288,0.0802,5.2833,12,100.00,0,MOVING
1.0513,0.2010,0.0599,10.9901,11,100.00,0,MOVING
1.0091,0.3254,0.1404,6.2371,15,100.00,0,MOVING
1.1186,0.1517,0.1214,8.5325,10,100.00,0,MOVING
0.9241,0.2732,0.1008,7.2179,10,100.00,0,MOVING
0.8824,0.3980,0.0814,5.9802,9,100.00,0,MOVING
0.9897,0.2217,0.0616,8.2165,13,100.00,0,MOVING
1.0974,0.1956,0.0919,6.9628,8,100.00,0,MOVING
0.9048,0.3193,0.0721,5.6993,16,100.00,0,MOVING
1.0136,0.2946,0.1028,7.9758,16,100.00,0,MOVING
0.9699,0.2670,0.0826,10.1851,11,100.00,0,MOVING
0.9273,0.3916,0.0630,8.9199,15,100.00,0,MOVING
1.0355,0.2159,0.1436,7.6805,14,100.00,0,MOVING
0.9927,0.3392,0.1236,6.4140,13,100.00,0,MOVING
1.0993,0.1623,0.0536,8.6274,13,100.00,0,MOVING
0.9063,0.1358,0.1337,10.8563,8,100.00,0,MOVING
0.8647,0.2602,0.1141,9.6196,12,100.00,0,MOVING
1.1218,0.3839,0.0944,8.3506,15,100.00,0,MOVING
0.9303,0.3592,0.0750,10.6167,15,100.00,0,MOVING
0.8883,0.3333,0.0553,9.3709,10,100.00,0,MOVING
1.1447,0.3069,0.0852,8.0811,9,100.00,0,MOVING
0.9535,0.1316,0.1159,10.3568,9,100.00,0,MOVING
0.9112,0.2555,0.0961,5.6036,8,100.00,0,MOVING
1.0169,0.3775,0.0758,7.7943,12,100.00,0,MOVING
1.1252,0.2030,0.1064,10.0547,11,100.00,0,MOVING
1.0825,0.1764,0.0867,5.2908,11,100.00,0,MOVING
1.0405,0.1506,0.0672,7.5452,10,100.00,0,MOVING
1.1492,0.1258,0.0978,9.8213,14,100.00,0,MOVING
0.9552,0.3979,0.1276,5.0180,9,100.00,0,MOVING
1.0624,0.2218,0.1077,7.2500,13,100.00,0,MOVING
1.0207,0.1961,0.0882,6.0139,12,100.00,0,MOVING
0.9778,0.3195,0.1183,8.2421,12,100.00,0,MOVING
0.9343,0.1425,0.1481,10.4534,16,100.00,0,MOVING
0.8922,0.2676,0.1288,9.2071,11,100.00,0,MOVING
0.8507,0.3921,0.0593,7.9752,14,100.00,0,MOVING
0.9583,0.2159,0.1394,6.7162,14,100.00,0,MOVING
1.0642,0.1883,0.0692,5.4145,9,100.00,0,MOVING
